uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,boutNumber,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy,identificationHistoryID
"a57422d8-0755-4e79-b2c0-01ed7d24d015","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","6","2020-07-01T12:15Z",1,"BRD.BART.2020.1",6,"Y","BTBW","Setophaga caerulescens","species","Black-throated Blue Warbler",59,"singing","No","Unknown",1,,"WFREE",
"b3d5dd07-3775-47eb-b797-2d5f421c984d","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","6","2020-07-01T12:15Z",1,"BRD.BART.2020.1",1,"Y","BAWW","Mniotilta varia","species","Black-and-white Warbler",34,"singing","No","Unknown",1,,"WFREE",
"bd6d7b45-bd6a-42df-8de0-c602e9341d19","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","6","2020-07-01T12:15Z",1,"BRD.BART.2020.1",4,"Y","YBSA","Sphyrapicus varius","species","Yellow-bellied Sapsucker",114,"singing","No","Unknown",1,,"WFREE",
"167acced-2716-4846-a235-95b872b0ca9f","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","6","2020-07-01T12:15Z",1,"BRD.BART.2020.1",5,"Y","GCFL","Myiarchus crinitus","species","Great Crested Flycatcher",65,"singing","No","Unknown",1,,"WFREE",
"e2c3fbb0-0903-4ef9-b325-59943c23e28f","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","6","2020-07-01T12:15Z",1,"BRD.BART.2020.1",3,"N",,,,,,,,,,,"WFREE",
"909c0851-e440-4f01-a076-9f1e5247dbf4","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","6","2020-07-01T12:15Z",1,"BRD.BART.2020.1",2,"N",,,,,,,,,,,"WFREE",
"4cc6c788-a6cb-4766-b4ff-c44e31d80f57","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","6","2020-07-01T12:15Z",1,"BRD.BART.2020.1",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",42,"singing","No","Unknown",1,,"WFREE",
"eaf16142-5193-4a02-843e-18b8e67d052a","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","6","2020-07-01T12:15Z",1,"BRD.BART.2020.1",88,"Y","WIWR","Troglodytes hiemalis","species","Winter Wren",,"singing","No","Unknown",1,,"WFREE",
"a9163c48-6e09-447f-8935-53bbe8e3fd32","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","9","2020-07-01T13:01Z",1,"BRD.BART.2020.1",2,"Y","BHVI","Vireo solitarius","species","Blue-headed Vireo",29,"singing","No","Unknown",1,,"WFREE",
"5e16b2f3-c7f7-4a67-994f-c3a792fd9d81","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","9","2020-07-01T13:01Z",1,"BRD.BART.2020.1",3,"N",,,,,,,,,,,"WFREE",
"c8b6c699-186d-465d-bfe2-dfa80f97c93b","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","9","2020-07-01T13:01Z",1,"BRD.BART.2020.1",6,"N",,,,,,,,,,,"WFREE",
"2074b625-b638-4e47-b33d-1bdbe916cefd","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","9","2020-07-01T13:01Z",1,"BRD.BART.2020.1",4,"Y","HETH","Catharus guttatus","species","Hermit Thrush",38,"unknown","No","Unknown",1,,"WFREE",
"8e0680c8-4ad9-4787-a463-31043b3290bf","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","9","2020-07-01T13:01Z",1,"BRD.BART.2020.1",1,"Y","BLBW","Setophaga fusca","species","Blackburnian Warbler",37,"singing","No","Unknown",1,,"WFREE",
"56594ed2-4524-452f-9910-52e8ab3ab2b4","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","9","2020-07-01T13:01Z",1,"BRD.BART.2020.1",5,"Y","BTBW","Setophaga caerulescens","species","Black-throated Blue Warbler",53,"singing","No","Unknown",1,,"WFREE",
"3f6d26fd-94ec-4a79-baec-8ef123545a93","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","1","2020-07-02T11:16Z",1,"BRD.BART.2020.1",6,"Y","WBNU","Sitta carolinensis","species","White-breasted Nuthatch",62,"calling","No","Unknown",1,,"WFREE",
"2e016739-12e8-4b14-b987-acc8cbf70509","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","1","2020-07-02T11:16Z",1,"BRD.BART.2020.1",5,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",54,"singing","No","Unknown",1,,"WFREE",
"241656ac-32f1-4c04-9ade-baff03b4b0cd","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","1","2020-07-02T11:16Z",1,"BRD.BART.2020.1",4,"N",,,,,,,,,,,"WFREE",
"5d5c41f7-0f8f-426a-9827-a043c1c95593","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","1","2020-07-02T11:16Z",1,"BRD.BART.2020.1",1,"Y","BCCH","Poecile atricapillus","species","Black-capped Chickadee",42,"calling","No","Unknown",1,,"WFREE",
"7863220c-2d46-45df-895f-40cdac0210b5","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","1","2020-07-02T11:16Z",1,"BRD.BART.2020.1",3,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",101,"singing","No","Unknown",1,,"WFREE",
"bde34b5a-2f20-415f-83e5-cc8f722fdec6","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","1","2020-07-02T11:16Z",1,"BRD.BART.2020.1",2,"Y","WBNU","Sitta carolinensis","species","White-breasted Nuthatch",39,"calling","No","Unknown",1,,"WFREE",
"ee645ff5-3307-46dc-894a-14ea489cd0d5","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","1","2020-07-02T11:16Z",1,"BRD.BART.2020.1",3,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",101,"singing","No","Unknown",1,,"WFREE",
"1f68c5ec-9a2b-4f26-a388-c8ec9067bec1","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","1","2020-07-02T11:16Z",1,"BRD.BART.2020.1",6,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler",78,"singing","No","Unknown",1,,"WFREE",
"e799eae0-2358-4d0e-8ed1-131a03d1b8e9","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","1","2020-07-02T11:16Z",1,"BRD.BART.2020.1",3,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",101,"singing","No","Unknown",1,,"WFREE",
"b39aa15b-946e-43f0-a6c7-4f663fb688b4","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","1","2020-07-02T11:16Z",1,"BRD.BART.2020.1",6,"Y","UNHA","Accipitridae sp.","family",,96,"calling","No","Unknown",1,,"WFREE",
