uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,boutNumber,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy,identificationHistoryID
"f565c22c-4f71-4557-bbdf-a09baf04e155","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","2","2022-06-15T09:39Z",1,"BRD.BART.2022.1",2,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",56,"singing","No","Unknown",1,,"KKLAP",
"d5bfcc18-fc59-44d8-b286-78f0fa6bb7ea","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","2","2022-06-15T09:39Z",1,"BRD.BART.2022.1",5,"Y","RBNU","Sitta canadensis","species","Red-breasted Nuthatch",31,"singing","No","Unknown",1,,"KKLAP",
"fc40dfe2-dec2-4f4b-bd39-21a1f261354f","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","2","2022-06-15T09:39Z",1,"BRD.BART.2022.1",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",37,"singing","No","Unknown",1,,"KKLAP",
"0f535b45-403e-477d-b62b-eefbb0adaa6e","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","2","2022-06-15T09:39Z",1,"BRD.BART.2022.1",1,"Y","WIWR","Troglodytes hiemalis","species","Winter Wren",52,"singing","No","Unknown",1,,"KKLAP",
"add0dd24-5c75-42be-89ce-ebae04190c85","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","2","2022-06-15T09:39Z",1,"BRD.BART.2022.1",4,"N",,,,,,,,,,,"KKLAP",
"c561877a-a297-41ae-8e11-fbd7cb0a8fea","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","2","2022-06-15T09:39Z",1,"BRD.BART.2022.1",3,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",30,"singing","No","Unknown",1,,"KKLAP",
"46db96ec-374a-41e6-8724-0684693a9d41","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","2","2022-06-15T09:39Z",1,"BRD.BART.2022.1",6,"Y","BLJA","Cyanocitta cristata","species","Blue Jay",29,"visual","Yes","Unknown",1,,"KKLAP",
"4871482c-3521-463d-9a02-2c9cc63a0de1","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","2","2022-06-15T09:39Z",1,"BRD.BART.2022.1",1,"Y","HETH","Catharus guttatus","species","Hermit Thrush",75,"singing","No","Unknown",1,,"KKLAP",
"e4508197-e982-4109-af12-4ee25b00157d","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","2","2022-06-15T09:39Z",1,"BRD.BART.2022.1",3,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",58,"singing","No","Unknown",1,,"KKLAP",
"db19d5c3-dc9b-4972-81d7-7e29e7a58551","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","5","2022-06-15T09:53Z",1,"BRD.BART.2022.1",3,"N",,,,,,,,,,,"KKLAP",
"5e93d2f4-55d4-48c9-bd5d-78e69476f132","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","5","2022-06-15T09:53Z",1,"BRD.BART.2022.1",2,"Y","BRCR","Certhia americana","species","Brown Creeper",5,"visual","Yes","Unknown",1,,"KKLAP",
"32675de4-552b-4b1a-898c-f4abbf091c2b","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","5","2022-06-15T09:53Z",1,"BRD.BART.2022.1",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",28,"singing","No","Unknown",1,,"KKLAP",
"eeee4ad0-ff4c-481d-9ce4-f433aba5b2b5","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","5","2022-06-15T09:53Z",1,"BRD.BART.2022.1",2,"Y","BLBW","Setophaga fusca","species","Blackburnian Warbler",26,"singing","No","Unknown",1,,"KKLAP",
"9532aacb-3628-421f-9671-2962f7d93074","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","5","2022-06-15T09:53Z",1,"BRD.BART.2022.1",1,"Y","WIWR","Troglodytes hiemalis","species","Winter Wren",18,"singing","No","Unknown",1,,"KKLAP",
"70a33d71-ddbe-494e-a1ae-bd17da484e12","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","5","2022-06-15T09:53Z",1,"BRD.BART.2022.1",6,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler",24,"singing","No","Unknown",1,,"KKLAP",
"2dc81533-ef47-41a7-a5fc-6649b73f8acf","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","5","2022-06-15T09:53Z",1,"BRD.BART.2022.1",5,"Y","BHVI","Vireo solitarius","species","Blue-headed Vireo",10,"singing","No","Unknown",1,,"KKLAP",
"646b43ee-5915-49cc-bde5-f8dac2727f00","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","5","2022-06-15T09:53Z",1,"BRD.BART.2022.1",4,"Y","BHVI","Vireo solitarius","species","Blue-headed Vireo",22,"singing","No","Unknown",1,,"KKLAP",
"8b2be6e3-7dd3-45b3-a6ae-11d41830450c","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","9","2022-06-15T10:10Z",1,"BRD.BART.2022.1",88,"Y","SCTA","Piranga olivacea","species","Scarlet Tanager",,"singing","No","Unknown",1,,"KKLAP",
"a8d4454a-f487-4d55-b765-3edb40f7b2ad","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","9","2022-06-15T10:10Z",1,"BRD.BART.2022.1",3,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",29,"singing","No","Unknown",1,,"KKLAP",
"a26ec65f-0287-4956-9cd4-8f64fc5f97a7","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","9","2022-06-15T10:10Z",1,"BRD.BART.2022.1",2,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",45,"singing","No","Unknown",1,,"KKLAP",
