uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,boutNumber,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"4ffd30ee-cb20-4b2d-998e-9eed1449de4c","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","9","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T08:59Z",1,,"OK","BRD.BART.2018.1",30,80,62,91,"mixed deciduous/evergreen forest",11,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"714cdd48-e0f2-46f0-baf2-e2413b82f9b6","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","8","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T09:14Z",1,,"OK","BRD.BART.2018.1",30,80,62,91,"deciduous forest",8,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"ebda01e5-708e-4d79-b605-7f3a09ab31c7","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","7","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T09:30Z",1,,"OK","BRD.BART.2018.1",30,80,62,91,"deciduous forest",9,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"9ada8c36-97ea-40ea-a5f2-98bc987dbd4a","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","4","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T09:49Z",1,,"OK","BRD.BART.2018.1",30,80,62,91,"deciduous forest",10,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"884deecc-df89-4774-9336-20d50e2bbd54","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","1","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T10:10Z",1,,"OK","BRD.BART.2018.1",30,80,62,91,"mixed deciduous/evergreen forest",10,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"f640bef3-72ce-4204-b10c-904adad0c312","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","2","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T10:31Z",1,,"OK","BRD.BART.2018.1",30,80,62,91,"deciduous forest",11,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"e8a88af7-82f0-4c32-a210-f783b5fd0ae7","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","3","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T10:49Z",1,,"OK","BRD.BART.2018.1",30,80,62,91,"deciduous forest",11,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"79b79ab4-f928-4843-b875-b119d770cd4c","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","6","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T11:09Z",1,,"OK","BRD.BART.2018.1",30,80,62,91,"deciduous forest",11,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"8e393c0f-2713-471b-9cbc-ad1fb27e454b","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","5","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T11:27Z",1,,"OK","BRD.BART.2018.1",30,80,62,91,"deciduous forest",11,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"ea0bf787-6253-40a7-83af-01b0de65daf5","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","7","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T12:05Z",1,,"OK","BRD.BART.2018.1",100,90,84,85,"mixed deciduous/evergreen forest",11,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"108bef56-c6af-4868-863a-b81d5071bc0e","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","8","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T12:19Z",1,,"OK","BRD.BART.2018.1",100,90,84,85,"mixed deciduous/evergreen forest",13,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"9376dbeb-b41e-48ea-b252-d1bcf57a991c","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","9","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T12:32Z",1,,"OK","BRD.BART.2018.1",100,90,84,85,"evergreen forest",12,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"0620131f-a058-4666-826d-826387fa3169","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","6","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T12:45Z",1,,"OK","BRD.BART.2018.1",100,90,84,85,"deciduous forest",13,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"bb47eb44-4fd9-4196-baf7-c7b279674dc2","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","3","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T13:00Z",1,,"OK","BRD.BART.2018.1",100,90,84,85,"mixed deciduous/evergreen forest",12,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"5e6bcfec-7b54-4653-aba0-66b7d4231318","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","2","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T13:15Z",1,,"OK","BRD.BART.2018.1",100,90,84,85,"mixed deciduous/evergreen forest",13,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"c7450e6a-47fe-49c7-8a3c-b33caa909559","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","1","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T13:31Z",1,,"OK","BRD.BART.2018.1",100,90,84,85,"mixed deciduous/evergreen forest",13,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"84a4841f-8d17-4c87-a124-19271c77bd84","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","5","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T13:50Z",1,,"OK","BRD.BART.2018.1",100,90,84,85,"mixed deciduous/evergreen forest",13,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"4afc6f4f-4117-4d6c-9846-af2a0179efc1","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","4","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T14:04Z",1,,"OK","BRD.BART.2018.1",100,90,84,85,"deciduous forest",14,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"316043f2-404e-4dc4-aae8-889e393f6608","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","1","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2018-06-08T09:24Z",1,,"OK","BRD.BART.2018.1",80,70,77,81,"deciduous forest",14,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"677bf440-d620-4c16-a690-b8ffb4ea806a","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","4","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2018-06-08T09:40Z",1,,"OK","BRD.BART.2018.1",80,70,77,81,"mixed deciduous/evergreen forest",13,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"00bba44b-4a2f-4ccc-b8a6-c45b1eff1a3b","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","7","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2018-06-08T09:58Z",1,,"OK","BRD.BART.2018.1",80,70,77,81,"mixed deciduous/evergreen forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"f2712e7f-338a-4cde-aaa6-e007833292a6","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","8","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2018-06-08T10:14Z",1,,"OK","BRD.BART.2018.1",80,70,77,81,"mixed deciduous/evergreen forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"2a51befa-346f-4e6d-aed4-3164d7690617","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","9","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2018-06-08T10:31Z",1,,"OK","BRD.BART.2018.1",80,70,77,81,"mixed deciduous/evergreen forest",13,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"63e323c5-831b-49fb-a69f-2e6b5154ec1a","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","6","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2018-06-08T10:48Z",1,,"OK","BRD.BART.2018.1",80,70,77,81,"mixed deciduous/evergreen forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"7e968085-45bb-48db-9261-ac483a4e595e","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","5","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2018-06-08T11:03Z",1,,"OK","BRD.BART.2018.1",80,70,77,81,"mixed deciduous/evergreen forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"78184fe2-c770-4100-bf69-2fe5316b3355","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","2","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2018-06-08T11:17Z",1,,"OK","BRD.BART.2018.1",80,70,77,81,"mixed deciduous/evergreen forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
