uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,boutNumber,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"bddd9792-a945-4457-a389-1e07be70cd71","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","6","evergreenForest",44.060146,-71.315479,"WGS84",250.3,575.8,0.3,"2020-07-01T12:15Z",1,,"OK","BRD.BART.2020.1",100,100,79,77,"mixed deciduous/evergreen forest",21,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"6e0cbe4e-e5f0-4dbc-ac6f-be142119d183","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","9","evergreenForest",44.060146,-71.315479,"WGS84",250.3,575.8,0.3,"2020-07-01T13:01Z",1,,"OK","BRD.BART.2020.1",100,100,79,77,"mixed deciduous/evergreen forest",21,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"d3842ddf-ebf7-481e-ae0e-edc93aaecc01","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","7","evergreenForest",44.060146,-71.315479,"WGS84",250.3,575.8,0.3,"2020-07-01T16:00Z",1,"Other","other","BRD.BART.2020.1",,,,,,,,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ","Point inaccessible due to rugged terrain.","WFREE"
"3fdb0a35-f947-4422-9117-b017e9af1063","BART_025.birdGrid.brd","D01","BART","BART_025","distributed","8","evergreenForest",44.060146,-71.315479,"WGS84",250.3,575.8,0.3,"2020-07-01T16:00Z",1,"Other","other","BRD.BART.2020.1",,,,,,,,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ","Point inaccessible due to rugged terrain","WFREE"
"be3ee79d-b424-4f9d-b490-e92749d1cc3b","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","1","deciduousForest",44.054939,-71.263123,"WGS84",250.3,438.5,0.4,"2020-07-02T11:16Z",1,,"OK","BRD.BART.2020.1",0,0,82,87,"deciduous forest",20,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"dba976b0-fccc-4e02-bc12-0b75bf31deae","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","2","deciduousForest",44.054939,-71.263123,"WGS84",250.3,438.5,0.4,"2020-07-02T11:43Z",1,,"OK","BRD.BART.2020.1",0,0,82,87,"mixed deciduous/evergreen forest",20,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"e229e501-ca41-4e89-9f2c-ccafc8edc4ab","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","3","deciduousForest",44.054939,-71.263123,"WGS84",250.3,438.5,0.4,"2020-07-02T12:09Z",1,,"OK","BRD.BART.2020.1",0,0,82,87,"mixed deciduous/evergreen forest",20,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"5045e473-f193-4dba-8896-88188843ea0a","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","6","deciduousForest",44.054939,-71.263123,"WGS84",250.3,438.5,0.4,"2020-07-02T12:38Z",1,,"OK","BRD.BART.2020.1",0,0,82,87,"deciduous forest",20,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"730f81c2-b537-48c5-90ca-6d7e761f7a2e","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","9","deciduousForest",44.054939,-71.263123,"WGS84",250.3,438.5,0.4,"2020-07-02T13:07Z",1,,"OK","BRD.BART.2020.1",0,0,82,87,"mixed deciduous/evergreen forest",20,3,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"067ada19-7589-433f-b696-b93435e8d741","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","5","deciduousForest",44.054939,-71.263123,"WGS84",250.3,438.5,0.4,"2020-07-02T13:47Z",1,,"OK","BRD.BART.2020.1",0,0,82,87,"deciduous forest",22,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"16a0fd35-afe7-41ce-99e5-55a91f14a9c0","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","4","deciduousForest",44.054939,-71.263123,"WGS84",250.3,438.5,0.4,"2020-07-03T11:13Z",1,,"OK","BRD.BART.2020.1",100,100,86,86,"evergreen forest",21,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ","NOISE FROM STREAM AT 4 REDUCED DETECTION SIGNIFICANTLY| VERY UNBIRDY ANYWAY","WFREE"
"52f14c23-30c9-4765-8f8c-ad8b741f1f94","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","8","deciduousForest",44.054939,-71.263123,"WGS84",250.3,438.5,0.4,"2020-07-03T11:47Z",1,,"OK","BRD.BART.2020.1",100,100,86,86,"evergreen forest",22,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"3b4138ef-a95d-46bf-8660-6afae646d417","BART_003.birdGrid.brd","D01","BART","BART_003","distributed","7","deciduousForest",44.054939,-71.263123,"WGS84",250.3,438.5,0.4,"2020-07-03T12:24Z",1,,"OK","BRD.BART.2020.1",100,100,86,86,"deciduous forest",22,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
